Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
常務,ご参加ありがとうございます。今日は自動会議設定機能のトライアル結果について報告しますが、まずはA社について触れたいと思います。彼らは非常に信頼できる会社で…,,,,
部長,A社との取引はもちろん大事ですが、我々の部門にとっては開発部の協力が不可欠です。そのコスト面についても考慮する必要がありますよね。,,,,
課長,みんな忙しいですし、今すぐ新しい機能を導入するのは時期尚早だと思います。リソースも足りないし…,,,,
担当者,それよりも、私の有給取得について話しませんか。ハワイに行きたいんですけど、どうしても取れなくて…,,,,
常務,A社は社長が気に入っていますし、接待も素晴らしいです。これからも彼らを優先していくべきです。,,,,
部長,まあ、確かに売上は上がるかもしれませんが、開発部の負担が増えることは無視できないでしょう。,,,,
課長,実際、私たち営業部はそんなに負担を背負いたくないので、他部門にもっと協力してもらう必要があると思います。,,,,
担当者,でも、私のMacBook Proが必要なんです。動画を見るためですから、その予算を割いてほしいです。,,,,
常務,A社は今後も重要なパートナーです。彼らと良い関係を築くためには、私がしっかりとサポートします。,,,,
部長,あれこれ言っても、最終的には営業に予算を回さないといけません。それが会社にとっても一番ですよ。,,,,
課長,開発部が今のままじゃ、新たな機能を持つのには負担が大きいと思います。慎重に進めるべきですよ。,,,,
担当者,やっぱり、有給が取れないならタスクの負担も軽減してもらわないと、私は動きませんよ。,,,,
常務,それに、A社の提案の方が他社よりもずっと信頼できますから、私たちは彼らに頼るべきです。,,,,
部長,そうだとしても、他部門からのサポートがなければ意味がありません。開発部がこのままじゃ、全く進展がない。,,,,
課長,新しいプロジェクトには慎重にならざるを得ないです。そうじゃなきゃ私たちが困ります。,,,,
担当者,だから、私のハワイの件、早急に考慮してください。,,,,
常務,A社の提案は特に優れているので、他の会社のを信用しない方がいいです。,,,,
部長,それは思い込みじゃないですか？私たちの部門にも他の選択肢を模索するべきです。,,,,
課長,開発部が担う新機能実装の負担は正直大きすぎると感じます。,,,,
担当者,すみませんが、自分の待遇を優先させてもらえないですか？,,,,
常務,A社との繋がりを強化することが最優先です。私は全力で進めますよ。,,,,
部長,そうかもしれませんが、私たちの部門の利益も無視できません。,,,,
課長,私はリスクを取らずに現状維持で進めた方がいいと思います。,,,,
担当者,そんなこと言ってたら、いつまでたっても出張に行けませんよ。,,,,
常務,A社の信頼性をもっと広めるべきです。彼らの優れたサポートは高く評価されるべきです。,,,,
部長,いや、それが本当に我々の利益に繋がるか、疑問です。,,,,
課長,簡単に結論を出さずに、しっかりと議論する必要があります。,,,,
担当者,私のMacBook Proについても真剣に考えてほしいです。,,,,
常務,A社との関係をもっと深化させていきましょう。これが絶対に正しい選択です。,,,,
部長,開発部がある以上、膨大なコストを伴う新プロジェクトの進行には反対します。,,,,
課長,今は慎重に進むべき時です。無駄なリスクを冒したくはありません。,,,,
担当者,だから、私の出張の件、どうにかしてください。,,,,
常務,A社に頼むのが一番です。信頼できるパートナーですから。,,,,
部長,でも、私たちの部門としても負担を感じているので、その点を忘れないでください。,,,,
課長,新しい提案に関しては再検討が必要だと思います。,,,,
担当者,出張の件、再度確認してください。,,,,
常務,結論として、A社を優先する方向で進めましょう。,,,,
部長,それは無理じゃないですか？他の選択肢を探るべきです。,,,,
課長,無理して進める必要はないと思います。,,,,
担当者,私の要求、早急に受け入れてほしいです。,,,,
常務,では、A社をベースに話を進めていきましょう。,,,,
部長,最終的に、営業部の利益を考えて判断してください。,,,,
課長,各部門の意見をしっかり反映させる必要があります。,,,,
担当者,今後のミーティングでの進展を期待しています。,,,,
常務,本日はありがとうございました。A社との協力を引き続き進めていきましょう。,,,,
部長,お疲れ様でした。,,,,
課長,お疲れ様でした。,,,,
担当者,お疲れ様でした。,,,,
