Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
チームリーダー,皆さん、今日は自動会議設定機能のトライアルについて話しましょう。,,,,
ベテラン,そういえば、私も昔に会議の自動設定を試したことがあるんですよ。あの時は…,,,,
若手A,あの…議題に…,,,,
若手B,最近、私も自動設定の話を聞きました。どうでしたか？,,,,
チームリーダー,ええ、まずはアンケート評価結果を報告しますね。,,,,
ベテラン,昔の営業の会議では…,,,,
若手A,あの…議題に戻りたいです。,,,,
チームリーダー,あ、でもその話もっと聞きたい！,,,,
若手B,そうそう、今のプロジェクトに関連することもありそうですよね。,,,,
ベテラン,あの時の〇〇さんが…,,,,
チームリーダー,実は、この機能の評価は賛否が分かれました。,,,,
若手A,うーん、評価結果はどうでしたか？,,,,
若手B,あ、週末に行ったカフェの話、聞いてください！,,,,
チームリーダー,はい、評価はとても好評でしたが、一部の意見として…,,,,
ベテラン,前にもあったよね、実際に使った人の声って重要ですよね。,,,,
若手A,あの…戻れますか？,,,,
チームリーダー,まあまあ、そんなに堅くならなくても！,,,,
若手B,あ、最近流行の映画について話しましょうよ！,,,,
ベテラン,昔のプロジェクトでは、こういう機能の実装が大変でした。,,,,
チームリーダー,評価の中には改善案も含まれていました。,,,,
若手A,あの…改善案は何ですか？,,,,
若手B,最近ハマってる趣味を話したいな。,,,,
ベテラン,そういえば、久しぶりに〇〇さんに会ったんですよ！,,,,
チームリーダー,その改善案は、インターフェースの使いやすさについてですね。,,,,
若手A,そ…それは重要です。,,,,
チームリーダー,あ、でも私もこの機能を使ったことがあるので、もっと詳しく話しませんか。,,,,
ベテラン,昔は、会議の資料が手元になかったことがあって…,,,,
若手B,なんか、最近の新しいカフェが気になります！,,,,
チームリーダー,それで、実際に使った感想をお聞きしたいです…。,,,,
若手A,あの…私も…,,,,
若手B,土曜日の天気予報、見ましたか？,,,,
ベテラン,そういえば、昔の天気予報ってどうだったか…,,,,
チームリーダー,さて、アンケートの結果も踏まえて、改善案を具体化していきましょう。,,,,
若手A,結果をどう活かせますか？,,,,
若手B,最近のトレンドって本当に面白いですね。,,,,
チームリーダー,まずは、みんなの意見を取り入れて改善に向けて進めたいです。,,,,
ベテラン,あの時のプロジェクトは成功だったなあ。,,,,
若手A,あの…発言してもいいですか？,,,,
若手B,それにしても、皆さんの最近のニュースはどうですか？,,,,
チームリーダー,今日はとても楽しい会議になりましたね。,,,,
ベテラン,いやー、昔の話もしておくべきでしたね。,,,,
若手A,お疲れ様でした。,,,,
若手B,ありがとうございました！,,,,
